============================= test session starts =============================
platform win32 -- Python 3.14.3, pytest-9.0.2, pluggy-1.6.0 -- C:\Program Files\Python314\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\yelron\OneDrive - Intel Corporation\Documents\VS Code Projects\InvestAI
configfile: pytest.ini
plugins: anyio-4.12.1, base-url-2.1.0, playwright-0.7.2
tests/test_e2e.py::TestSearchBars::test_search_bars_present_on_all_data_pages[chromium] FAILED [ 42%]
tests/test_e2e.py::TestSearchBars::test_search_bar_has_icon_and_clear_button[chromium] FAILED [ 42%]
tests/test_e2e.py::TestSearchBars::test_search_filters_education_cards[chromium] PASSED [ 43%]
tests/test_e2e.py::TestSearchBars::test_search_filters_calendar_events[chromium] PASSED [ 43%]
tests/test_e2e.py::TestSearchBars::test_search_no_results_message[chromium] PASSED [ 44%]
tests/test_e2e.py::TestSearchBars::test_clear_button_resets_search[chromium] FAILED [ 45%]
tests/test_e2e.py::TestForgotPasswordUI::test_forgot_link_visible_on_login_page[chromium] PASSED [ 45%]
tests/test_e2e.py::TestForgotPasswordUI::test_forgot_link_shows_email_form[chromium] PASSED [ 46%]
tests/test_e2e.py::TestForgotPasswordUI::test_back_link_returns_to_login[chromium] PASSED [ 47%]
tests/test_e2e.py::TestForgotPasswordUI::test_submit_email_shows_code_form[chromium] PASSED [ 47%]
tests/test_e2e.py::TestForgotPasswordUI::test_full_ui_reset_flow[chromium] FAILED [ 48%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_button_visible[chromium] PASSED [ 49%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_modal_opens[chromium] FAILED [ 49%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_modal_shows_content[chromium] FAILED [ 50%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_invest_amount_input[chromium] FAILED [ 50%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_modal_closes[chromium] FAILED [ 51%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_shows_signal_groups[chromium] FAILED [ 52%]
tests/test_e2e.py::TestMarketDataIntegrity::test_no_http_error_text_on_dashboard[chromium] PASSED [ 52%]
tests/test_e2e.py::TestMarketDataIntegrity::test_market_cards_show_real_prices[chromium] PASSED [ 53%]
tests/test_e2e.py::TestMarketDataIntegrity::test_ticker_strip_renders[chromium] PASSED [ 54%]
tests/test_e2e.py::TestMarketDataIntegrity::test_no_js_errors_during_market_load[chromium] PASSED [ 54%]
tests/test_e2e.py::TestMarketDataIntegrity::test_market_cards_have_change_indicators[chromium] PASSED [ 55%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_dashboard_market_cards_show_all_featured[chromium] PASSED [ 56%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_dashboard_sparklines_draw_via_yahoo[chromium] SKIPPED [ 56%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_dashboard_no_error_messages_visible[chromium] PASSED [ 57%]
tests/test_e2e.py::TestPerfOptimizations::test_budget_page_uses_status_endpoint[chromium] FAILED [ 57%]
tests/test_e2e.py::TestPerfOptimizations::test_stock_detail_loads_via_combined_endpoint[chromium] FAILED [ 58%]
tests/test_e2e.py::TestPerfOptimizations::test_sparklines_render_with_lightweight_canvas[chromium] FAILED [ 59%]
tests/test_e2e.py::TestPerfOptimizations::test_smart_advisor_tab_switch_no_refetch[chromium] FAILED [ 59%]
tests/test_e2e.py::TestPerfOptimizations::test_trading_advisor_skips_unchanged_rerender[chromium] FAILED [ 60%]
tests/test_e2e.py::TestPerfOptimizations::test_init_parallel_load[chromium] PASSED [ 61%]
tests/test_e2e.py::TestScreenerAPI::test_value_stocks_api_returns_results FAILED [ 61%]
tests/test_e2e.py::TestScreenerAPI::test_dividend_yield_values_are_reasonable FAILED [ 62%]
tests/test_e2e.py::TestScreenerAPI::test_pe_ratio_filter_is_respected FAILED [ 63%]
tests/test_e2e.py::TestScreenerAPI::test_high_dividend_api_returns_results FAILED [ 63%]
tests/test_e2e.py::TestScreenerAPI::test_cache_warming_provides_metrics FAILED [ 64%]
tests/test_e2e.py::TestScreenerAPI::test_signal_filter_buy_returns_only_buy FAILED [ 64%]
tests/test_e2e.py::TestScreenerAPI::test_signal_filter_hold_returns_only_hold FAILED [ 65%]
tests/test_e2e.py::TestScreenerAPI::test_signal_filter_avoid_returns_only_avoid FAILED [ 66%]
tests/test_e2e.py::TestScreenerAPI::test_signal_filter_no_filter_returns_mixed FAILED [ 66%]
tests/test_e2e.py::TestAuthMe::test_me_unauthenticated_returns_redirect PASSED [ 67%]
tests/test_e2e.py::TestMultiUserIsolation::test_watchlist_isolation FAILED [ 68%]
tests/test_e2e.py::TestMultiUserIsolation::test_portfolio_isolation FAILED [ 68%]
tests/test_e2e.py::TestMultiUserIsolation::test_transactions_isolation FAILED [ 69%]
tests/test_e2e.py::TestMultiUserIsolation::test_alerts_isolation FAILED  [ 70%]
tests/test_e2e.py::TestForgotPasswordAPI::test_forgot_password_returns_ok_for_existing_user PASSED [ 70%]
tests/test_e2e.py::TestForgotPasswordAPI::test_forgot_password_returns_ok_for_unknown_email PASSED [ 71%]
tests/test_e2e.py::TestForgotPasswordAPI::test_reset_password_with_valid_code FAILED [ 71%]
tests/test_e2e.py::TestForgotPasswordAPI::test_reset_password_wrong_code_rejected PASSED [ 72%]
tests/test_e2e.py::TestForgotPasswordAPI::test_reset_password_code_single_use FAILED [ 73%]
tests/test_e2e.py::TestForgotPasswordAPI::test_reset_password_short_password_rejected FAILED [ 73%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_endpoint_returns_200 FAILED [ 74%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_summary_structure FAILED [ 75%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_plan_has_valid_signals FAILED [ 75%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_stocks_have_allocations FAILED [ 76%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_allocations_sum_to_investment FAILED [ 77%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_sector_filter FAILED [ 77%]
tests/test_e2e.py::TestActionPlanAPI::test_action_plan_strengths_and_weaknesses FAILED [ 78%]
tests/test_e2e.py::TestMarketDataIntegrity::test_market_api_returns_valid_data FAILED [ 78%]
tests/test_e2e.py::TestOOMFixAPI::test_cache_status_returns_bounded_total FAILED [ 79%]
tests/test_e2e.py::TestOOMFixAPI::test_pxd_not_in_stock_universe FAILED  [ 80%]
tests/test_e2e.py::TestOOMFixAPI::test_pxd_not_in_trading_dashboard FAILED [ 80%]
tests/test_e2e.py::TestOOMFixAPI::test_advisor_rankings_no_heavy_arrays FAILED [ 81%]
tests/test_e2e.py::TestOOMFixAPI::test_trading_dashboard_picks_capped FAILED [ 82%]
tests/test_e2e.py::TestOOMFixAPI::test_trading_dashboard_has_progress FAILED [ 82%]
tests/test_e2e.py::TestOOMFixAPI::test_market_home_returns_data FAILED   [ 83%]
tests/test_e2e.py::TestOOMFixAPI::test_value_scanner_returns_structure FAILED [ 84%]
tests/test_e2e.py::TestOOMFixAPI::test_trading_dashboard_has_packages FAILED [ 84%]
tests/test_e2e.py::TestOOMFixAPI::test_advisor_single_stock_still_has_indicators FAILED [ 85%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_featured_returns_all_six_stocks FAILED [ 85%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_featured_prices_are_realistic FAILED [ 86%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_featured_have_change_percent FAILED [ 87%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_featured_sparklines_have_data_points FAILED [ 87%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_sparkline_points_count FAILED [ 88%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_ticker_returns_all_symbols FAILED [ 89%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_home_returns_both_ticker_and_featured FAILED [ 89%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_home_featured_have_sparklines FAILED [ 90%]
tests/test_e2e.py::TestYahooOnlyDataFlow::test_home_no_error_text_in_response FAILED [ 91%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_trading_advisor_total_matches_universe FAILED [ 91%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_trading_advisor_progress_fields FAILED [ 92%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_trading_advisor_all_five_packages FAILED [ 92%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_trading_advisor_responds_within_timeout FAILED [ 93%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_trading_advisor_market_mood_valid FAILED [ 94%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_cache_warmer_signals_ready FAILED [ 94%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_concurrent_api_calls_dont_block FAILED [ 95%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_candle_cache_speeds_up_repeat_calls FAILED [ 96%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_all_picks_capped_at_30 FAILED [ 96%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_stock_detail_returns_data FAILED [ 97%]
tests/test_e2e.py::TestAdvisorPerfAPI::test_value_scanner_responds_with_stats FAILED [ 98%]
tests/test_e2e.py::TestSmartAdvisorCacheHit::test_advisor_analyze_returns_under_5s FAILED [ 98%]
tests/test_e2e.py::TestSmartAdvisorCacheHit::test_advisor_analyze_has_rankings FAILED [ 99%]
tests/test_e2e.py::TestSmartAdvisorCacheHit::test_advisor_float_and_int_amount_same_result FAILED [100%]

================================== FAILURES ===================================
__________________ TestLogin.test_successful_login[chromium] __________________
tests\test_e2e.py:64: in test_successful_login
    page.wait_for_url(f"{live_url}/", timeout=15_000)
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:9197: in wait_for_url
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_page.py:580: in wait_for_url
    return await self._main_frame.wait_for_url(**locals_to_params(locals()))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:263: in wait_for_url
    async with self.expect_navigation(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_event_context_manager.py:33: in __aexit__
    await self._future
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:239: in continuation
    event = await waiter.result()
            ^^^^^^^^^^^^^^^^^^^^^
E   playwright._impl._errors.TimeoutError: Timeout 15000ms exceeded.
E   =========================== logs ===========================
E   waiting for navigation to "http://127.0.0.1:8091/" until 'load'
E   ============================================================
_____________ TestNavigation.test_navigate_to_each_page[chromium] _____________
tests\test_e2e.py:131: in test_navigate_to_each_page
    expect(section).to_have_class(re.compile("active"))
E   AssertionError: Locator expected to have class 're.compile('active')'
E   Actual value: page 
E   Call log:
E     - Expect "to_have_class" with timeout 5000ms
E     - waiting for locator("#page-news")
E       9 ╫ locator resolved to <section class="page" id="page-news">à</section>
E         - unexpected value "page"
________ TestNavigation.test_url_hash_updates_on_navigation[chromium] _________
tests\test_e2e.py:183: in test_url_hash_updates_on_navigation
    assert f"#{page_id}" in authenticated_page.url, (
E   AssertionError: URL should contain #portfolio, got http://127.0.0.1:8091/#education
E   assert '#portfolio' in 'http://127.0.0.1:8091/#education'
E    +  where 'http://127.0.0.1:8091/#education' = <Page url='http://127.0.0.1:8091/#education'>.url
__ TestDashboardFlow.test_sparkline_charts_render_on_market_cards[chromium] ___
tests\test_e2e.py:219: in test_sparkline_charts_render_on_market_cards
    authenticated_page.wait_for_function(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:11599: in wait_for_function
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_page.py:1110: in wait_for_function
    return await self._main_frame.wait_for_function(**locals_to_params(locals()))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:878: in wait_for_function
    await self._channel.send("waitForFunction", self._timeout, params)
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
E   playwright._impl._errors.Error: Page.wait_for_function: EvalError: Evaluating a string as JavaScript violates the following Content Security Policy directive because 'unsafe-eval' is not an allowed source of script: script-src 'self' 'unsafe-inline' https://cdn.jsdelivr.net".
E   
E       at eval (<anonymous>)
E       at predicate (eval at evaluate (:290:30), <anonymous>:4:56)
E       at next (eval at evaluate (:290:30), <anonymous>:29:29)
______ TestDashboardFlow.test_sparkline_charts_have_pixel_data[chromium] ______
tests\test_e2e.py:235: in test_sparkline_charts_have_pixel_data
    authenticated_page.wait_for_function(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:11599: in wait_for_function
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_page.py:1110: in wait_for_function
    return await self._main_frame.wait_for_function(**locals_to_params(locals()))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:878: in wait_for_function
    await self._channel.send("waitForFunction", self._timeout, params)
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
E   playwright._impl._errors.Error: Page.wait_for_function: EvalError: Evaluating a string as JavaScript violates the following Content Security Policy directive because 'unsafe-eval' is not an allowed source of script: script-src 'self' 'unsafe-inline' https://cdn.jsdelivr.net".
E   
E       at eval (<anonymous>)
E       at predicate (eval at evaluate (:290:30), <anonymous>:4:56)
E       at next (eval at evaluate (:290:30), <anonymous>:29:29)
____ TestDashboardFlow.test_sparkline_data_has_realistic_values[chromium] _____
tests\test_e2e.py:263: in test_sparkline_data_has_realistic_values
    authenticated_page.wait_for_function(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:11599: in wait_for_function
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_page.py:1110: in wait_for_function
    return await self._main_frame.wait_for_function(**locals_to_params(locals()))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:878: in wait_for_function
    await self._channel.send("waitForFunction", self._timeout, params)
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
E   playwright._impl._errors.Error: Page.wait_for_function: EvalError: Evaluating a string as JavaScript violates the following Content Security Policy directive because 'unsafe-eval' is not an allowed source of script: script-src 'self' 'unsafe-inline' https://cdn.jsdelivr.net".
E   
E       at eval (<anonymous>)
E       at predicate (eval at evaluate (:290:30), <anonymous>:4:56)
E       at next (eval at evaluate (:290:30), <anonymous>:29:29)
_______ TestScreenerFlow.test_screener_search_returns_results[chromium] _______
tests\test_e2e.py:425: in test_screener_search_returns_results
    authenticated_page.get_by_role("button", name="Search").first.click()
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:15631: in click
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_locator.py:162: in click
    return await self._frame._click(self._selector, strict=True, **params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:566: in _click
    await self._channel.send("click", self._timeout, locals_to_params(locals()))
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
E   playwright._impl._errors.TimeoutError: Locator.click: Timeout 30000ms exceeded.
E   Call log:
E     - waiting for get_by_role("button", name="Search").first
E       - locator resolved to <button class="btn btn-primary" onclick="runScreener()">Search</button>
E     - attempting click action
E       2 ╫ waiting for element to be visible, enabled and stable
E         - element is visible, enabled and stable
E         - scrolling into view if needed
E         - done scrolling
E         - <div class="tour-overlay open"></div> intercepts pointer events
E       - retrying click action
E       - waiting 20ms
E       2 ╫ waiting for element to be visible, enabled and stable
E         - element is visible, enabled and stable
E         - scrolling into view if needed
E         - done scrolling
E         - <div class="tour-overlay open"></div> intercepts pointer events
E       - retrying click action
E         - waiting 100ms
E       54 ╫ waiting for element to be visible, enabled and stable
E          - element is visible, enabled and stable
E          - scrolling into view if needed
E          - done scrolling
E          - <div class="tour-overlay open"></div> intercepts pointer events
E        - retrying click action
E          - waiting 500ms
________ TestScreenerFlow.test_screener_preset_value_stocks[chromium] _________
tests\test_e2e.py:435: in test_screener_preset_value_stocks
    authenticated_page.get_by_role("button", name="Value Stocks").click()
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:15631: in click
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_locator.py:162: in click
    return await self._frame._click(self._selector, strict=True, **params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:566: in _click
    await self._channel.send("click", self._timeout, locals_to_params(locals()))
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
E   playwright._impl._errors.TimeoutError: Locator.click: Timeout 30000ms exceeded.
E   Call log:
E     - waiting for get_by_role("button", name="Value Stocks")
E       - locator resolved to <button class="btn btn-sm" data-help="preset_value" onclick="applyPreset('value')">Value Stocks</button>
E     - attempting click action
E       2 ╫ waiting for element to be visible, enabled and stable
E         - element is visible, enabled and stable
E         - scrolling into view if needed
E         - done scrolling
E         - <div class="tour-overlay open"></div> intercepts pointer events
E       - retrying click action
E       - waiting 20ms
E       2 ╫ waiting for element to be visible, enabled and stable
E         - element is visible, enabled and stable
E         - scrolling into view if needed
E         - done scrolling
E         - <div class="tour-overlay open"></div> intercepts pointer events
E       - retrying click action
E         - waiting 100ms
E       54 ╫ waiting for element to be visible, enabled and stable
E          - element is visible, enabled and stable
E          - scrolling into view if needed
E          - done scrolling
E          - <div class="tour-overlay open"></div> intercepts pointer events
E        - retrying click action
E          - waiting 500ms
E       - waiting for element to be visible, enabled and stable
__ TestScreenerFlow.test_screener_preset_value_stocks_shows_cards[chromium] ___
tests\test_e2e.py:449: in test_screener_preset_value_stocks_shows_cards
    authenticated_page.get_by_role("button", name="Value Stocks").click()
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\sync_api\_generated.py:15631: in click
    self._sync(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_locator.py:162: in click
    return await self._frame._click(self._selector, strict=True, **params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_frame.py:566: in _click
    await self._channel.send("click", self._timeout, locals_to_params(locals()))
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:69: in send
    return await self._connection.wrap_api_call(
..\..\..\..\AppData\Roaming\Python\Python314\site-packages\playwright\_impl\_connection.py:559: in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
E   playwright._impl._errors.TimeoutError: Locator.click: Timeout 30000ms exceeded.
E   Call log:
E     - waiting for get_by_role("button", name="Value Stocks")
E       - locator resolved to <button class="btn btn-sm" data-help="preset_value" onclick="applyPreset('value')">Value Stocks</button>
