============================= test session starts =============================
platform win32 -- Python 3.14.3, pytest-9.0.2, pluggy-1.6.0 -- C:\Program Files\Python314\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\yelron\OneDrive - Intel Corporation\Documents\VS Code Projects\InvestAI
configfile: pytest.ini
plugins: anyio-4.12.1, base-url-2.1.0, playwright-0.7.2
tests/test_e2e.py::TestSearchBars::test_search_bars_present_on_all_data_pages[chromium] FAILED [ 42%]
tests/test_e2e.py::TestSearchBars::test_search_bar_has_icon_and_clear_button[chromium] FAILED [ 42%]
tests/test_e2e.py::TestSearchBars::test_search_filters_education_cards[chromium] PASSED [ 43%]
tests/test_e2e.py::TestSearchBars::test_search_filters_calendar_events[chromium] PASSED [ 43%]
tests/test_e2e.py::TestSearchBars::test_search_no_results_message[chromium] PASSED [ 44%]
tests/test_e2e.py::TestSearchBars::test_clear_button_resets_search[chromium] FAILED [ 45%]
tests/test_e2e.py::TestForgotPasswordUI::test_forgot_link_visible_on_login_page[chromium] PASSED [ 45%]
tests/test_e2e.py::TestForgotPasswordUI::test_forgot_link_shows_email_form[chromium] PASSED [ 46%]
tests/test_e2e.py::TestForgotPasswordUI::test_back_link_returns_to_login[chromium] PASSED [ 47%]
tests/test_e2e.py::TestForgotPasswordUI::test_submit_email_shows_code_form[chromium] PASSED [ 47%]
tests/test_e2e.py::TestForgotPasswordUI::test_full_ui_reset_flow[chromium] FAILED [ 48%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_button_visible[chromium] PASSED [ 49%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_modal_opens[chromium] FAILED [ 49%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_modal_shows_content[chromium] FAILED [ 50%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_invest_amount_input[chromium] FAILED [ 50%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_modal_closes[chromium] FAILED [ 51%]
tests/test_e2e.py::TestActionPlanUI::test_action_plan_shows_signal_groups[chromium] 
